Node,Load,DX,DY,DZ,RX,RY,RZ
1,SW,0.0,0.0,0.0,0.0,0.00033,-0.0
2,SW,0.00022,0.0,-0.0,-1e-05,0.00033,0.0
3,SW,0.00012,0.0,-0.0,-1e-05,-0.0002,-0.0
4,SW,0.00036,-0.0,0.0,-1e-05,-0.00041,0.0
5,SW,0.00012,-0.0,-0.0,-1e-05,0.00033,-0.0
6,SW,0.00021,-0.0,-0.0,-1e-05,-0.00041,0.0
7,SW,0.00012,0.0,0.00012,-1e-05,-0.00013,-0.0
8,SW,0.00014,-0.0,0.00012,-1e-05,-0.00013,0.0
9,SW,0.00015,-0.0,-0.0,0.0,-0.00025,-0.0
11,SW,0.00015,-0.0,2e-05,-0.0,-0.00014,-0.0
12,SW,0.00012,-0.0,4e-05,-0.0,-0.00014,0.0
13,SW,0.00015,-0.0,6e-05,-0.0,-0.00014,0.0
14,SW,0.00012,0.0,8e-05,-1e-05,-0.00013,0.0
15,SW,0.00014,-0.0,0.0001,-1e-05,-0.00013,0.0
16,SW,0.00012,-0.0,-0.00017,-1e-05,0.00032,-1e-05
17,SW,0.00021,0.0,-0.00017,-2e-05,0.00032,-0.0
18,SW,0.00017,-0.0,-9e-05,-1e-05,0.00032,-0.0
19,SW,0.00017,-0.0,-0.00025,-2e-05,0.0003,-0.0
20,SW,0.00021,0.0,-0.00032,-3e-05,0.00028,-0.0
21,SW,0.00013,-1e-05,-0.00032,-3e-05,0.00028,-1e-05
22,SW,0.00017,-0.0,-0.00039,-3e-05,0.00025,-0.0
23,SW,0.0002,0.0,-0.00045,-4e-05,0.00022,-0.0
24,SW,0.00013,-1e-05,-0.00045,-4e-05,0.00022,-1e-05
25,SW,0.00017,-1e-05,-0.00051,-5e-05,0.00019,-0.0
26,SW,0.00019,0.0,-0.00055,-6e-05,0.00015,-0.0
27,SW,0.00014,-2e-05,-0.00055,-5e-05,0.00015,-0.0
28,SW,0.00017,-1e-05,-0.00058,-5e-05,0.00011,-0.0
29,SW,0.00018,-0.0,-0.0006,-5e-05,8e-05,-0.0
30,SW,0.00016,-2e-05,-0.0006,-5e-05,8e-05,-0.0
31,SW,0.00017,-1e-05,-0.00062,-5e-05,3e-05,-0.0
33,SW,0.00017,-2e-05,-0.00062,-5e-05,-1e-05,-0.0
34,SW,0.00017,-1e-05,-0.00062,-5e-05,-5e-05,0.0
35,SW,0.00015,-0.0,-0.0006,-5e-05,-9e-05,0.0
36,SW,0.00018,-2e-05,-0.0006,-5e-05,-9e-05,0.0
37,SW,0.00017,-1e-05,-0.00058,-5e-05,-0.00012,0.0
38,SW,0.00014,0.0,-0.00053,-6e-05,-0.00016,0.0
39,SW,0.00019,-2e-05,-0.00053,-5e-05,-0.00016,1e-05
40,SW,0.00017,-1e-05,-0.00049,-5e-05,-0.00019,0.0
41,SW,0.00013,0.0,-0.00043,-4e-05,-0.00023,0.0
42,SW,0.0002,-1e-05,-0.00044,-4e-05,-0.00023,1e-05
43,SW,0.00017,-0.0,-0.00038,-3e-05,-0.00025,1e-05
44,SW,0.00013,0.0,-0.00031,-3e-05,-0.00028,0.0
45,SW,0.00021,-1e-05,-0.00031,-3e-05,-0.00028,1e-05
46,SW,0.00017,-0.0,-0.00024,-2e-05,-0.00029,0.0
47,SW,0.00012,0.0,-0.00016,-1e-05,-0.00031,-0.0
48,SW,0.00021,-0.0,-0.00016,-1e-05,-0.0003,1e-05
49,SW,0.00017,-0.0,-8e-05,-1e-05,-0.0003,0.0
50,SW,0.00017,-0.0,-0.00062,-5e-05,-1e-05,-0.0
51,SW,0.0,0.0,0.0,0.0,0.0,0.0
52,SW,0.0,0.0,0.0,0.0,0.0,0.0
53,SW,0.0,0.0,0.0,0.0,0.0,0.0
54,SW,0.0,0.0,0.0,0.0,0.0,0.0
