ID,X,Y,Z
1,0.0,0.0,0.0
2,0.0,0.0,0.6604
3,6.096,0.0,0.6604
4,6.096,0.0,0.0
5,0.0,0.0,0.3556
6,6.096,0.0,0.3556
7,7.0104,0.0,0.6604
8,7.0104,0.0,0.508
9,6.096,0.0,0.508
11,6.2484,0.0,0.508
12,6.4008,0.0,0.6604
13,6.5532,0.0,0.508
14,6.7056,0.0,0.6604
15,6.858,0.0,0.508
16,0.508,0.0,0.3556
17,0.508,0.0,0.6604
18,0.254,0.0,0.508
19,0.762,0.0,0.508
20,1.016,0.0,0.6604
21,1.016,0.0,0.3556
22,1.27,0.0,0.508
23,1.524,0.0,0.6604
24,1.524,0.0,0.3556
25,1.778,0.0,0.508
26,2.032,0.0,0.6604
27,2.032,0.0,0.3556
28,2.286,0.0,0.508
29,2.54,0.0,0.6604
30,2.54,0.0,0.3556
31,2.794,0.0,0.508
33,3.048,0.0,0.3556
34,3.302,0.0,0.508
35,3.556,0.0,0.6604
36,3.556,0.0,0.3556
37,3.81,0.0,0.508
38,4.064,0.0,0.6604
39,4.064,0.0,0.3556
40,4.318,0.0,0.508
41,4.572,0.0,0.6604
42,4.572,0.0,0.3556
43,4.826,0.0,0.508
44,5.08,0.0,0.6604
45,5.08,0.0,0.3556
46,5.334,0.0,0.508
47,5.588,0.0,0.6604
48,5.588,0.0,0.3556
49,5.842,0.0,0.508
50,3.048,0.0,0.6604
51,1.3716,0.0,0.6604
52,1.8288,0.0,0.6604
53,2.1336,0.0,0.6604
54,2.4384,0.0,0.6604
55,2.7432,0.0,0.6604
56,3.2004,0.0,0.6604
57,3.3528,0.0,0.6604
58,3.5052,0.0,0.6604
59,3.81,0.0,0.6604
60,4.1148,0.0,0.6604
61,6.985,0.0,0.6604
62,0.0,0.8128,0.6604
63,0.508,0.8128,0.6604
64,6.096,0.8128,0.0
65,6.096,0.8128,0.3556
66,0.0,0.8128,0.3556
67,0.508,0.8128,0.3556
68,6.096,0.8128,0.508
69,6.096,0.8128,0.6604
70,6.4008,0.8128,0.6604
71,7.0104,0.8128,0.6604
72,7.0104,0.8128,0.508
73,6.858,0.8128,0.508
74,0.0,0.8128,0.0
75,6.2484,0.8128,0.508
76,6.7056,0.8128,0.6604
77,6.5532,0.8128,0.508
78,0.254,0.8128,0.508
79,1.016,0.8128,0.3556
80,1.016,0.8128,0.6604
81,0.762,0.8128,0.508
82,1.27,0.8128,0.508
83,1.524,0.8128,0.6604
84,1.524,0.8128,0.3556
85,1.778,0.8128,0.508
86,2.032,0.8128,0.6604
87,2.032,0.8128,0.3556
88,2.286,0.8128,0.508
89,2.54,0.8128,0.6604
90,2.54,0.8128,0.3556
91,2.794,0.8128,0.508
92,3.048,0.8128,0.3556
93,3.302,0.8128,0.508
94,3.556,0.8128,0.6604
95,3.556,0.8128,0.3556
96,3.81,0.8128,0.508
97,4.064,0.8128,0.6604
98,4.064,0.8128,0.3556
99,4.318,0.8128,0.508
100,4.572,0.8128,0.6604
101,4.572,0.8128,0.3556
102,4.826,0.8128,0.508
103,5.08,0.8128,0.6604
104,5.08,0.8128,0.3556
105,5.334,0.8128,0.508
106,5.588,0.8128,0.6604
107,5.588,0.8128,0.3556
108,5.842,0.8128,0.508
109,3.048,0.8128,0.6604
110,0.0,0.4064,0.508
111,6.096,0.4064,0.508
112,7.0104,0.4064,0.5842
113,1.8288,0.8128,0.6604
114,2.4384,0.8128,0.6604
115,3.3528,0.8128,0.6604
116,3.81,0.8128,0.6604
117,6.985,0.8128,0.6604
118,0.0127,0.0,0.6604
