load_case,d1,d2,q
2,36.0,72.0,-22.2222222
2C,36.0,72.0,-22.2222222
3,54.0,90.0,-22.2222222
3C,54.0,90.0,-22.2222222
4,66.0,102.0,-22.2222222
4C,66.0,102.0,-22.2222222
5,78.0,114.0,-22.2222222
5C,78.0,114.0,-22.2222222
6,90.0,126.0,-22.2222222
6C,90.0,126.0,-22.2222222
7,102.0,138.0,-22.2222222
7C,102.0,138.0,-22.2222222
8,108.0,144.0,-22.2222222
8C,108.0,144.0,-22.2222222
9,114.0,150.0,-22.2222222
9C,114.0,150.0,-22.2222222
10,120.0,156.0,-22.2222222
10C,120.0,156.0,-22.2222222
11,132.0,168.0,-22.2222222
11C,132.0,168.0,-22.2222222
12,144.0,180.0,-22.2222222
12C,144.0,180.0,-22.2222222
2C,,,-12.5
3C,,,-12.5
4C,,,-12.5
5C,,,-12.5
6C,,,-12.5
7C,,,-12.5
8C,,,-12.5
9C,,,-12.5
10C,,,-12.5
11C,,,-12.5
12C,,,-12.5
