loading,lc_a,x_a,y_a,z_a,lc_b,x_b,y_b,z_b,lc_c,x_c,y_c,z_c,lc_d,x_d,y_d,z_d
2,2,36,0,,3,2001,,,24,1000,0,,26,2000,0,
3,4,54,,,5,2000,0,,25,1007,,,27,2001,,
4,6,66,0,,7,2001,,,24,1000,0,,26,2000,0,
5,8,78,,,9,2000,0,,25,1007,,,27,2001,,
6,10,90,0,,11,2001,,,24,1000,0,,26,2000,0,
7,12,102,,,13,2000,0,,25,1007,,,27,2001,,
8,14,108,0,,15,2001,,,24,1000,0,,26,2000,0,
9,16,114,,,17,2000,0,,25,1007,,,27,2001,,
10,18,120,0,,19,2001,,,24,1000,0,,26,2000,0,
11,20,132,,,21,2000,0,,25,1007,,,27,2001,,
12,22,144,0,,23,2001,,,24,1000,0,,26,2000,0,
